source,target
Abandon,Överge
A/B Testing,A/B-test
accessed,åtkomna
accesses,åtkomster
accessing,åtkommande
access rights,åtkomsträttigheter
Access Rights,Åtkomsträttigheter
access right,åtkomsträtt
Access Token,Åtkomst-token
Access warning,Åtkomstvarning
account balance,kontobalans
account balancing,kontobalansering
Account Cash Rounding,Avrundningskonto
account chart,kontoplan
account closing,kontostängning
account entry,bokföringspost
account holder,kontoinnehavare
Accounting Periods,Räkenskapsperioder
Accounting Reports,Bokföringsrapporter
accounting settings,bokföringsinställningar
account,konto
account management,kontohantering
Account mapping,Kartläggning av konton
account move line,bokföringsrad
account move,verifikat
account number,kontonummer
Account Opening,Öppnande av konto
Account Payable,Leverantörsskuld
account receivable,kundfordringar
Account Receivable,Kundfordringar
accounts' balances,kontobalanser
accounts,konton
Accrual Basis,Faktureringsmetoden
accrual entry,periodiseringspost
accrual,periodisering
accrual plan,periodiseringsplan
accruals,periodiseringar
accrual time off,periodisering av ledighet
Accrued Expense,Upplupen kostnad
accural entry,periodiseringspost
acquisition,anskaffning
Action Needed,Åtgärd krävs
Actions,Åtgärder
Action,Åtgärd
Active,aktiv
active subscription,pågående prenumeration
Activities,Aktiviteter
Activity,Aktivitet
Activity Log,Aktivitetslogg
Activity Logs,Aktivitetsloggar
Activity State,Aktivitetsstatus
Activity Type Icon,Ikon för aktivitetstyp
actual replenishment,faktisk påfyllning
Acсounting Report,Bokföringsrapport
Add an item,Lägg till ett objekt
Add field,Lägg till fält
add-ons,tillägg
addons,tillägg
addon,tillägg
adds,lägger till
adjusting entry,justeringspost
Adjustments,Justeringar
Administrator,Administratör
advance,förskott
Advisor,Rådgivare
affect base,påverka bas
Aged Payable,Förfallna leverantörsskulder
Aged Receivable,Förfallna kundfordringar
aged receivable report,rapport för förfallna fordringar
Aged Reports,Förfallna rapporter
agent,agent
agents,agenter
agreement,avtal
agreements,avtal
alarm,larm
alias,alias
allocation request,tilldelningsbegäran
Allocation,Tilldela
Allocation,Tilldelning
a lot,Ett parti
amount,belopp
amount currency,belopp i valuta
analysis period,analysperiod
analytic account,Objektkonto
analytic accounts,objektkonton
analytic distributions,objektfördelningar
analytic item,Objekt
analytic item,objektpost
analytic items,objekt
analytic items,objektposter
analytic,objekt
analytic tag,objektetikett
an exception occured,ett undantag inträffade
animations,animationer
annual closing,årsbokslut
Annual,Årlig
API,API
API key,API-nyckel
applicants,sökande
applicant,sökande
Appointment,Tidsbokning
appointments,bokningar
appraisals,utvärderingar
appraisal,utvärdering
approbe,godkänna
approval,godkännande
approvals,godkännanden
approved,godkänd
approve,godkänna
approves,godkänner
approving,godkänner
App Store,App Store
archive,arkiv
Archive,Arkiv
Archived,Arkiverad
archives,arkiv
archiving,arkivering
arch,valv
Article,Artikel
article item,artikelpost
Ask Location,Fråga om plats
a slide,en bild
Assets management,Hantering av tillgångar
assets,tillgångar
Assets,Tillgångar
asset,tillgång
Assigned Opportunities,Tilldelade möjligheter
assigned partner,tilldelad kontakt
assigned,tilldelad
assignees,uppdragstagare
assignee,uppdragstagare
assigning,tilldelar
Assignment,Tilldelning
assigns,tilldelar
assign,tilldela
Assign,Tilldela
At least,Åtminstone
Attach,Bifoga
attachment,bilaga
Attachment Count,Antal bilagor
Attachments,Bilagor
attribute,attribut
attributes,attribut
Author,Författare
Autocomplete,Automatisk ifyllning
automate,automatisera
automated,automatiserad
automates,automatiserar
automatic,automatisk
automating,automatiserar
Availability,Tillgänglighet
Available,Tillgänglig
Avatar,Avatar
average daily wage,genomsnittlig daglön
average debtors days,genomsnittliga gäldenärsdagar
backend,backend
background image,bakgrundsbild
Badge (gamification),Bricka (spelifiering)
badge,märke
Badges,Brickor
bakery,bageri
Bakery,Bageri
balance,balans
Balance,Balans
Balance Sheet,Balansräkning
bank account,bankkonto
bank accounts,bankkonton
Bank Feeds,Bankkopplingar
Bank Journal,Bankjournal
bank reconciliation,bankavstämning
bank statement,bankutdrag
bank statements,bankutdrag
Banner,Banner
barcode lookup,streckkodssökning
Barcode Lookup,Streckkodssökning
barcodes,streckkoder
barcode,streckkod
Barcode,Streckkod
base on,baserad på
Base View,Basvy
Batch,Batch
Batch booking,Batchbokning
batch deposit,partiinbetalning
Batch Picking,Batchplockning
batch transfer,partiöverföring
Beginner,Nybörjare
benefit in kind,naturaförmån
benefits in kind,naturaförmåner
Best before Date,Bäst-före-datum
bid,anbud
bill,faktura
Bill,Faktura
billing,fakturering
Bill of Material,Materialförteckning
bill of materials,materialförteckning
bills,fakturor
biography,biografi
bitrate,bithastighet
Blacklist,Svartlista
Block,Block
blocking,blockering
blog,blogg
Blog,Blogg
blog entries,blogginlägg
Blog Entry,Blogginlägg
blog post,blogginlägg
Blog post,Blogginlägg
blog posts,blogginlägg
blogs,bloggar
BoM,Materialförteckning
BOM,Materialförteckning
booth,monter
Booth,Monter
booths,montrar
Booths,Montrar
Bootstrap,Bootstrap
bot,bot
bots,botar
bots,bots
Bounce,Studsa
box,låda
breadcrumb,smultronstig
breadcrumbs,smultronstigar
bridge,bro
bridge module,Klistermodul
brokerage fee,mäklararvode
Budget,Budget
Building block,Byggmoduler
Business intelligence,Affärsanalyser
button,knapp
buy,köp
by-product,biprodukt
Byproduct,Biprodukt
by task,efter uppgift
Cabinet with Doors,Skåp med dörrar
calendar,kalender
calendars,kalendrar
calendar view,kalendervy
call,samtal
call to action,uppmaning till handling
campaigns,kampanjer
cancel,avbryt
Cancel,Avbryt
canceled,avbruten
canceling,avbrytande
cancelled,avbruten
